Name,MC,Attr,Ref,LABEL
101companies.ecore_results.txt,3,7,4,model
1_renamed_petri_net.ecore_results.txt,6,4,6,model
A.ecore_results.txt,3,2,2,model
aadl2.ecore_results.txt,154,58,352,model
accounting.ecore_results.txt,9,11,12,model
ACG.ecore_results.txt,32,20,40,model
Actions-provided.ecore_results.txt,43,8,57,model
Actions.ecore_results.txt,17,4,22,model
Activator.ecore_results.txt,2,1,1,model
Activities-provided.ecore_results.txt,18,10,51,model
Activities.ecore_results.txt,26,17,82,model
activity.ecore_results.txt,9,4,14,model
activitydiagram.ecore_results.txt,17,9,24,model
ActivityDiagramMT.ecore_results.txt,22,10,34,model
activitydiagramtracemm.ecore_results.txt,158,4,367,model
activityecorelua.ecore_results.txt,77,53,140,model
Adb.ecore_results.txt,167,107,255,model
AddressBook.ecore_results.txt,6,6,6,model
adl.ecore_results.txt,6,2,6,model
adl200.ecore_results.txt,4,5,6,model
adl203.ecore_results.txt,6,8,11,model
adl301.ecore_results.txt,9,7,10,model
adl401.ecore_results.txt,5,6,10,model
adlold.ecore_results.txt,5,5,8,model
adlrecur.ecore_results.txt,4,3,6,model
AFMMM.ecore_results.txt,6,3,11,model
After.ecore_results.txt,5,1,8,model
AgentDSL.ecore_results.txt,10,5,11,model
Ale.ecore_results.txt,49,33,74,model
alldatatypes.ecore_results.txt,13,62,1,model
AmazonInformational.ecore_results.txt,5,1,10,model
Amf.ecore_results.txt,5,6,8,model
andle.ecore_results.txt,3,5,3,model
AnyaBasic.ecore_results.txt,2,1,1,model
AppBuilderDSL.ecore_results.txt,44,34,52,model
ApplauseDsl.ecore_results.txt,33,22,48,model
application.ecore_results.txt,17,86,21,model
apromore.ecore_results.txt,5,10,7,model
Arch.ecore_results.txt,17,19,18,model
archi.ecore_results.txt,2,2,0,model
archimate.ecore_results.txt,14,10,32,model
archimate2.ecore_results.txt,31,12,143,model
archimateApplication.ecore_results.txt,1,0,2,model
archimateImplementationMigration.ecore_results.txt,1,0,2,model
ArchimateRelations.ecore_results.txt,6,11,8,model
archimateTechnology.ecore_results.txt,1,0,2,model
architecture.ecore_results.txt,10,6,18,model
Ardlers.ecore_results.txt,20,21,24,model
arduino.ecore_results.txt,9,10,9,model
ArduinoDSL.ecore_results.txt,33,18,50,model
arduinoML.ecore_results.txt,6,4,9,model
ArduinoMM.ecore_results.txt,10,8,12,model
Ardurobotml.ecore_results.txt,24,37,24,model
Arithmetic.ecore_results.txt,12,5,17,model
Arithmetics.ecore_results.txt,6,1,9,model
ASD.ecore_results.txt,10,18,19,model
ASMLogo.ecore_results.txt,13,4,17,model
aspectualacme.ecore_results.txt,38,22,90,model
ASPT.ecore_results.txt,5,16,2,model
assessment.ecore_results.txt,30,22,55,model
Assignment2.ecore_results.txt,5,1,6,model
assignment6_model.ecore_results.txt,8,13,10,model
AssistantMVCEvol11.ecore_results.txt,4,6,4,model
AssistantMVCEvol13.ecore_results.txt,6,6,5,model
AssistantMVCFinal.ecore_results.txt,4,3,5,model
Asso.ecore_results.txt,10,3,14,model
ast.ecore_results.txt,88,21,201,model
astm-v1.ecore_results.txt,79,22,118,model
ATL.ecore_results.txt,51,27,71,model
atl_types.ecore_results.txt,3,2,8,model
Automata.ecore_results.txt,13,15,13,model
automaticexperiment.ecore_results.txt,2,12,3,model
automation.ecore_results.txt,3,1,8,model
automaton.ecore_results.txt,3,1,8,model
backbone.ecore_results.txt,10,5,17,model
BacktrackingContentAssistTestLanguage.ecore_results.txt,47,36,64,model
BaseCST.ecore_results.txt,42,24,63,model
Basic.ecore_results.txt,19,7,58,model
basic2.ecore_results.txt,2,1,2,model
basicfamily.ecore_results.txt,3,4,9,model
BasicFMsmetamodel.ecore_results.txt,2,5,5,model
BasicFsm.ecore_results.txt,4,5,9,model
bdd.ecore_results.txt,9,12,10,model
beans.ecore_results.txt,4,4,4,model
becontent.ecore_results.txt,64,174,35,model
Before.ecore_results.txt,5,3,7,model
Behavior.ecore_results.txt,4,1,10,model
behavioral_elements.ecore_results.txt,48,13,138,model
behaviour.ecore_results.txt,12,9,15,model
behaviouralProgramMM.ecore_results.txt,14,8,18,model
benchmark.ecore_results.txt,7,5,10,model
Binary.ecore_results.txt,5,3,5,model
binding0_reuse_mm.ecore_results.txt,5,4,8,model
BinTree.ecore_results.txt,1,1,3,model
boa.ecore_results.txt,28,13,36,model
Book.ecore_results.txt,4,6,3,model
bookingmodel.ecore_results.txt,14,34,12,model
bookOrder.ecore_results.txt,3,2,2,model
books.ecore_results.txt,3,5,2,model
BooksOne.ecore_results.txt,4,5,6,model
bookStore.ecore_results.txt,7,11,10,model
BooleanConstraintLanguage.ecore_results.txt,8,3,11,model
BoolExp.ecore_results.txt,2,0,3,model
bowling.ecore_results.txt,5,12,7,model
bowling.sprint.2.ecore_results.txt,7,11,7,model
bowlingmodel.ecore_results.txt,5,13,10,model
bpel.ecore_results.txt,68,148,161,model
BPM.ecore_results.txt,4,3,4,model
bpmn.ecore_results.txt,17,14,30,model
BPMN20.ecore_results.txt,110,113,213,model
BPMNDI.ecore_results.txt,7,7,20,model
bpmnprof.ecore_results.txt,117,65,304,model
Bug287941TestModel.ecore_results.txt,1,1,1,model
bz288963.ecore_results.txt,4,7,8,model
bz325429.ecore_results.txt,3,6,2,model
Cal.ecore_results.txt,52,28,119,model
Calculatrice.ecore_results.txt,7,9,9,model
camel.ecore_results.txt,133,196,238,model
capellacommon.ecore_results.txt,9,5,19,model
CarRental.ecore_results.txt,9,13,20,model
CarRental2.ecore_results.txt,9,13,23,model
cbpmn.ecore_results.txt,12,12,25,model
cbpmni.ecore_results.txt,6,1,13,model
ccore.ecore_results.txt,38,101,74,model
ccsl.ecore_results.txt,55,33,72,model
CD.ecore_results.txt,3,2,3,model
CDE.ecore_results.txt,3,4,2,model
CE.ecore_results.txt,2,4,1,model
Cep2AutomatonTrace.ecore_results.txt,3,0,6,model
cevinedit.ecore_results.txt,7,30,2,model
CFG.ecore_results.txt,3,1,8,model
cgimodel.ecore_results.txt,7,4,8,model
ChartDsl.ecore_results.txt,4,5,4,model
Cherry1to2.ecore_results.txt,2,1,1,model
Class.ecore_results.txt,2,5,2,model
ClassDiagram.ecore_results.txt,2,1,4,model
Classes.ecore_results.txt,13,35,10,model
ClassesCS.ecore_results.txt,10,2,15,model
classescs2as.ecore_results.txt,3,0,6,model
classLayout2Frontend.ecore_results.txt,21,25,13,model
ClassM.ecore_results.txt,8,5,9,model
classmate.ecore_results.txt,5,5,6,model
ClassMM.ecore_results.txt,5,5,7,model
Classmodel.ecore_results.txt,19,37,25,model
class_diagramm.ecore_results.txt,7,13,14,model
CloudML-2.0.ecore_results.txt,26,35,49,model
CloudML-2.1.ecore_results.txt,29,54,54,model
CloudML.ecore_results.txt,17,26,28,model
cm.ecore_results.txt,33,8,58,model
CMOF.ecore_results.txt,43,44,92,model
CMOF20.ecore_results.txt,33,29,71,model
cobol.ecore_results.txt,188,77,215,model
CoCo2Choco.ecore_results.txt,21,36,32,model
coCoMM.ecore_results.txt,22,29,35,model
codemodel.ecore_results.txt,7,2,13,model
CodePack.ecore_results.txt,15,65,6,model
column.ecore_results.txt,1,4,0,model
comicBookCollection.ecore_results.txt,5,5,7,model
comicBooks.ecore_results.txt,7,7,18,model
commons.ecore_results.txt,51,223,15,model
Comp.ecore_results.txt,2,1,1,model
compactTraceMetamodel.ecore_results.txt,23,9,38,model
Companies.ecore_results.txt,6,6,7,model
Company.ecore_results.txt,3,3,3,model
company104.ecore_results.txt,14,16,20,model
CompanyLanguage.ecore_results.txt,4,4,5,model
CompleteDSL.ecore_results.txt,23,11,30,model
CompleteOCLCS.ecore_results.txt,9,2,22,model
complworld.ecore_results.txt,4,2,2,model
component.ecore_results.txt,17,88,27,model
componentBasedSystem.ecore_results.txt,8,4,9,model
ComponentLanguageDeep.ecore_results.txt,6,0,10,model
ComponentLanguageShallow.ecore_results.txt,2,0,3,model
componentModel.ecore_results.txt,21,7,36,model
component_diagram.ecore_results.txt,8,8,19,model
CompositeFSM.ecore_results.txt,3,3,10,model
ConcurrentActivityDiagramMT.ecore_results.txt,23,12,34,model
conditionals.ecore_results.txt,3,1,6,model
ConfigDsl.ecore_results.txt,2,7,2,model
contacts.ecore_results.txt,5,17,6,model
contentfwk.ecore_results.txt,39,102,166,model
Cool.ecore_results.txt,29,6,45,model
Coom.ecore_results.txt,4,6,5,model
CORE.ecore_results.txt,11,1,22,model
courceList.ecore_results.txt,12,30,26,model
course.ecore_results.txt,16,20,32,model
coursePages.ecore_results.txt,14,29,21,model
Courses.ecore_results.txt,15,33,28,model
course_description.ecore_results.txt,16,27,28,model
cpntools.ecore_results.txt,35,55,39,model
cpp.ecore_results.txt,58,35,73,model
cppmodel.ecore_results.txt,30,21,66,model
CSharp.ecore_results.txt,95,14,281,model
cSharpArchId.ecore_results.txt,22,11,35,model
cstat1.ecore_results.txt,6,6,7,model
ctmc.ecore_results.txt,4,7,7,model
ctrlflow101.ecore_results.txt,3,4,4,model
CustomerDsl.ecore_results.txt,7,11,6,model
CVLModel.ecore_results.txt,15,18,15,model
C_Metamodel.ecore_results.txt,57,23,63,model
c_sharp.ecore_results.txt,97,7,202,model
dag.ecore_results.txt,3,6,8,model
Data.ecore_results.txt,5,10,4,model
dataBase.ecore_results.txt,3,0,3,model
databaseMetamodel.ecore_results.txt,3,7,7,model
Datatype.ecore_results.txt,12,13,12,model
DataTypes.ecore_results.txt,0,0,0,model
Datavault.ecore_results.txt,2,1,1,model
DB.ecore_results.txt,4,1,4,model
DbDsl.ecore_results.txt,3,3,4,model
dbl.ecore_results.txt,64,29,89,model
DBLP.ecore_results.txt,15,51,17,model
DbMddAndroid.ecore_results.txt,5,6,8,model
dbmodel.ecore_results.txt,4,2,6,model
dbschema.ecore_results.txt,5,4,3,model
dcmddandroid.ecore_results.txt,13,18,14,model
DDA.ecore_results.txt,13,3,18,model
DDL.ecore_results.txt,4,1,4,model
DdlDsl.ecore_results.txt,28,25,19,model
